|Voter_Name|Voter_Country|Film_1|Film_2|Film_3|Film_4|Film_5|Film_6|Film_7|Film_8|Film_9|Film_10|Film_11|Film_12|Film_13
0|Gilbert Adair|UK|L'Atalante (Vigo)|Les Dames du Bois de Boulogne (Bresson)|Gertrud (Dreyer)|Limelight (Chaplin)|La Nuit du carrefour (Renoir)|Orphée (Cocteau)|Playtime (Tati)|The Story of the Late Chrysanthemums (Mizoguchi)|Sin of Nora Moran (Goldstone)|Whispering Pages (Sokurov)|||
1|Richard Allen|US|Andrei Roublev (Tarkovsky)|L'Atalante (Vigo)|Citizen Kane (Welles)|8 1/2 (Fellini)|M (Lang)|Man with a Movie Camera (Vertov)|The Passion of Joan of Arc (Dreyer)|La Règle du jeu (Renoir)|Ugetsu Monogatari (Mizoguchi)|Vertigo (Hitchcock)|||
2|Geoff Andrew|UK|L'Atalante (Vigo)|Les Demoiselles de Rochefort (Demy)|His Girl Friday (Hawks)|The Magnificent Ambersons (Welles)|Ma nuit chez Maud (Rohmer)|Ordet (Dreyer)|Our Hospitality (Keaton)|Le Plaisir (Ophuls)|Tokyo Story (Ozu)|The Wind Will Carry Us (Kiarostami)|||
3|Nigel Andrews|UK|Citizen Kane (Welles)|Vertigo (Hitchcock)|Aguirre, Wrath of God (Herzog)|The Night of the Hunter (Laughton)|Spirited Away (Miyazaki)|Hour of the Wolf (Bergman)|Europa (von Trier)|Happiness (Solondz)|Careful (Maddin)|The Godfather and The Godfather Part II (Coppola)|||
4|David Ansen|US|Chimes at Midnight (Welles)|The Conformist (Bertolucci)|Hope and Glory (Boorman)|Jules et Jim (Truffaut)|McCabe & Mrs. Miller (Altman)|La notte di San Lorenzo (Tavianis)|La Règle du jeu (Renoir)|Sherlock Jr. (Keaton)|The Third Man (Reed)|Trouble in Paradise (Lubitsch)|||
5|Manuel Antin|Argentina|City Lights (Chaplin)|Citizen Kane (Welles)|Amarcord (Fellini)|Wild Strawberries (Bergman)|Les Enfants du paradis (Carné)|Rashomon (Kurosawa)|Viridiana (Buñuel)|The Lady Vanishes (Hitchcock)|Miracle in Milan (De Sica)|Metropolis (Lang)|||
6|Peter von Bagh|Finland|The Wedding March (von Stroheim)|Okraina (Barnet)|Make Way for Tomorrow (McCarey)|A Canterbury Tale (Powell, Pressburger)|Late Spring (Ozu)|Rio Grande (Ford)|Édouard et Caroline (Becker)|Bigger Than Life (N. Ray)|Man of the West (A. Mann)|And Life Goes On... (Kiarostami)|||
7|Angela Baldassarre|Canada|The Godfather and The Godfather Part II (Coppola)|The 400 Blows (Truffaut)|1900 (Bertolucci)|Citizen Kane (Welles)|The Great Dictator (Chaplin)|Gone with the Wind (Fleming)|City Lights (Chaplin)|La dolce vita (Fellini)|Battleship Potemkin (Eisenstein)|Metropolis (Lang)|||
8|Charles Barr|UK|The Old Actor (Griffith)|Ingeborg Holm (Sjöström)|The Wind (Sjöström)|Le Crime de Monsieur Lange (Renoir)|The Lady Vanishes (Hitchcock)|Random Harvest (LeRoy)|A Canterbury Tale (Powell, Pressburger)|My Love Has Been Burning (Mizoguchi)|The Man Who Shot Liberty Valance (Ford)|King Lear (Brook)|||
9|Chris Berry|US/Australia|A City of Sadness (Hou)|Battleship Potemkin (Eisenstein)|I Was Born, But... (Ozu)|The Highway (Sun Yu)|Through the Olive Trees (Kiarostami)|A Touch of Zen (Hu)|In a Year with Thirteen Moons (Fassbinder)|Vive l'Amour (Tsai)|Juliet of the Spirits (Fellini)|A One and a Two... (Yang)|||
10|Irene Bignardi|Italy|City Lights (Chaplin)|8 1/2 (Fellini)|Nashville (Altman)|Citizen Kane (Welles)|Some Like It Hot (Wilder)|Jules et Jim (Truffaut)|Blade Runner (Scott)|The Battle of Algiers (Pontecorvo)|Paisà (Rossellini)|Singin' in the Rain (Kelly, Donen)|||
11|Michaela Boland|Australia|When Harry Met Sally... (Reiner)|The Party (Edwards)|Rope (Hitchcock)|Trainspotting (Boyle)|Citizen Kane (Welles)|The Pillow Book (Greenaway)|Grease (Kleiser)|My Brilliant Career (Armstrong)|To Kill a Mockingbird (Mulligan)|Breaking the Waves (von Trier)|||
12|Peter Bradshaw|UK|The Addiction (Ferrara)|Andrei Roublev (Tarkovsky)|Black Narcissus (Powell, Pressburger)|Crimes and Misdemeanors (Allen)|In the Company of Men (LaBute)|Kind Hearts and Coronets (Hamer)|Paths of Glory (Kubrick)|Raging Bull (Scorsese)|Singin' in the Rain (Kelly, Donen)|Tokyo Story (Ozu)|||
13|Leon Cakoff|Brazil|Citizen Kane (Welles)|Casablanca (Curtiz)|Rashomon (Kurosawa)|2001: A Space Odyssey (Kubrick)|Vidas Secas (Dos Santos)|Battleship Potemkin (Eisenstein)|And the Ship Sails On (Fellini)|The Searchers (Ford)|A Taste of Cherry... (Kiarostami)|Central Station (Salles)|||
14|Russell Campbell|New Zealand|The General (Keaton)|L'Atalante (Vigo)|La Règle du jeu (Renoir)|Hiroshima mon amour (Resnais)|Psycho (Hitchcock)|Jules et Jim (Truffaut)|Vivre sa vie (Godard)|Au hasard Balthazar (Bresson)|Andrei Roublev (Tarkovsky)|Germany, Pale Mother (Sanders-Brahms)|||
15|Anchalee Chaiworaporn|Thailand|À bout de souffle (Godard)|Jules et Jim (Truffaut)|Citizen Kane (Welles)|Tokyo Story (Ozu)|La Jetée (Marker)|And Life Goes On... (Kiarostami)|Vertigo (Hitchcock)|Happy Together (Wong)|Rashomon (Kurosawa)|The Celluloid Closet (Epstein)|||
16|Paolo Cherchi-Usai|US/Italy|Barry Lyndon (Kubrick)|Blue (Jarman)|Daybreak (Sun Yu)|The Land beyond the Sunset (Shaw)|Land of Silence and Darkness (Herzog)|Le Mélomane (Méliès)|Sant Tukaram (Fattelal, Damle)|Surprise, Surprise (British Airways)|Sylvester (Pick)|Ya - Cuba (Kalatozov)|||
17|Li Cheuk-To|Hong Kong|Au hasard Balthazar (Bresson)|Floating Clouds (Naruse)|The General (Keaton)|Mirror (Tarkovsky)|Pather Panchali (S. Ray)|The Puppetmaster (Hou)|Spring in a Small Town (Fei)|Tabu (Murnau)|Two or Three Things I Know about Her (Godard)|Vertigo (Hitchcock)|||
18|Peggy Chiao|Taiwan|Amarcord (Fellini)|Chungking Express (Wong)|Citizen Kane (Welles)|A City of Sadness (Hou)|The Godfather (Coppola)|La Règle du jeu (Renoir)|The Searchers (Ford)|Seven Samurai (Kurosawa)|Tokyo Story (Ozu)|Vertigo (Hitchcock)|||
19|Michel Chion|France|Blade Runner (Scott)|Casablanca (Curtiz)|Casanova (Fellini)|City Lights (Chaplin)|Days of Heaven (Malick)|India Song (Duras)|Monty Python's Life of Brian (Jones)|Shadows of Our Forgotten Ancestors (Paradjanov)|Spirited Away (Miyazaki)|2001: A Space Odyssey (Kubrick)|||
20|Ian Christie|UK|Casino (Scorsese)|Un Chien andalou (Buñuel)|Hitler: A Film from Germany (Syberberg)|Ivan the Terrible (Eisenstein)|M (Lang)|A Matter of Life and Death (Powell, Pressburger)|Le Mépris (Godard)|The Story of the Late Chrysanthemums (Mizoguchi)|Voyage to Italy (Rossellini)|Young Mr. Lincoln (Ford)|||
21|Michel Ciment|France|Barry Lyndon (Kubrick)|L'Atalante (Vigo)|La Règle du jeu (Renoir)|Madame de... (Ophuls)|Sunrise (Murnau)|The General (Keaton)|The Travelling Players (Angelopoulos)|Ugetsu Monogatari (Mizoguchi)|White Heat (Walsh)|Salvatore Giuliano (Rosi)|||
22|Pam Cook|UK|Ballad of Little Jo (Greenwald)|Becky Sharp (Mamoulian)|Do the Right Thing (Lee)|Farewell My Concubine (Chen)|The Lodger (Hitchcock)|Moulin Rouge (Luhrmann)|Psycho (Hitchcock)|The Red Shoes (Powell, Pressburger)|Shadows (Cassavetes)|Sunrise (Murnau)|||
23|Mark Cousins|UK|Distant Voices Still Lives (Davies)|The Emperor's Naked Army Marches On (Hara)|Gold Diggers of 1933 (LeRoy)|He Who Gets Slapped (Sjöström)|The Insect Woman (Imamura)|Jeanne Dielman... (Akerman)|La Maman et la putain (Eustache)|Russian Ark (Sokurov)|Light Sleeper (Schrader)|Touch of Evil (Welles)|||
24|Peter Cowie|UK|The Seventh Seal (Bergman)|The Godfather Part II (Coppola)|Alexander Nevsky (Eisenstein)|Jules et Jim (Truffaut)|The Double Life of Véronique (Kieslowski)|Les Enfants du paradis (Carné)|Deliverance (Boorman)|Seven Samurai (Kurosawa)|Vertigo (Hitchcock)|My Darling Clementine (Ford)|||
25|Hamid Dabashi|US/Iran|Close-up (Kiarostami)|Yol (Gören)|Cairo Station (Chahine)|Kadosh (Gitai)|A Moment of Innocence (M. Makhmalbaf)|Les Silences du palais (Tlatli)|The Runner (Naderi)|A Wedding in Galilee (Khleifi)|Bashu, The Little Stranger (Beyzaï)|Mercedes (Nasrallah)|||
26|Manohla Dargis|US|Au hasard Balthazar (Bresson)|Barry Lyndon (Kubrick)|The Godfather and The Godfather Part II (Coppola)|La Grande Illusion (Renoir)|Masculin Féminin (Godard)|The Puppetmaster (Hou)|Scenes from under Childhood (Brakhage)|Some Like It Hot (Wilder)|Tokyo Story (Ozu)|Touch of Evil (Welles)|||
27|Joel David|Philippines|Salò (Pasolini)|Manila by Night; City after Dark (Bernal)|Khalnayak (Ghai)|The Opening of Misty Beethoven (Metzger)|Hour of the Furnaces (Solanas)|La Règle du jeu (Renoir)|God Told Me To (Cohen)|La Région centrale (Snow)|Olympiad Berlin 1936 (Riefenstahl)|The Devil in Miss Jones (Damiano)|||
28|David Denby|US|L'avventura (Antonioni)|Citizen Kane (Welles)|Dekalog (Kieslowski)|The Godfather and The Godfather Part II (Coppola)|Seven Samurai (Kurosawa)|Sunrise (Murnau)|La Règle du jeu (Renoir)|The Third Man (Reed)|Weekend (Godard)|Vertigo (Hitchcock)|||
29|Malgorzata Dipont|Poland|Battleship Potemkin (Eisenstein)|A Blonde in Love (Forman)|Citizen Kane (Welles)|The Devil and the Nun (Kawalerowicz)|8 1/2 (Fellini)|Les Enfants du paradis (Carné)|The Gold Rush (Chaplin)|Rashomon (Kurosawa)|Stalker (Tarkovsky)|Viridiana (Buñuel)|||
30|Philip Dodd|UK|City Lights (Chaplin)|The Passion of Joan of Arc (Dreyer)|Vertigo (Hitchcock)|The Battle of Algiers (Pontecorvo)|Screen Tests (Warhol)|Time of the Gypsies (Kusturica)|Fires Were Started (Jennings)|Le Mépris (Godard)|His Girl Friday (Hawks)|Atanarjuat The Fast Runner (Kunuk)|||
31|Daniil Dondurei|Russia|Battleship Potemkin (Eisenstein)|Citizen Kane (Welles)|L'Atalante (Vigo)|Rashomon (Kurosawa)|8 1/2 (Fellini)|The Passion of Joan of Arc (Dreyer)|Wild Strawberries (Bergman)|Dead Man (Jarmusch)|Rocco and His Brothers (Visconti)|One Flew over the Cuckoo's Nest (Forman)|||
32|Patrick Duynslaegher|Belgium|Berlin Alexanderplatz (Fassbinder)|Citizen Kane (Welles)|The Damned (Visconti)|Napoléon (Gance)|Satyricon (Fellini)|Seven Samurai (Kurosawa)|Sweet Smell of Success (Mackendrick)|2001: A Space Odyssey (Kubrick)|Tristana (Buñuel)|Vertigo (Hitchcock)|||
33|Michael Dwyer|Ireland|Barry Lyndon (Kubrick)|Bonnie and Clyde (Penn)|Citizen Kane (Welles)|Fanny and Alexander (Bergman)|It's a Wonderful Life (Capra)|La Nuit américaine (Truffaut)|Raging Bull (Scorsese)|Three Colours Trilogy (Kieslowski)|Vertigo (Hitchcock)|The Wild Bunch (Peckinpah)|||
34|Richard Dyer|UK|All That Heaven Allows (Sirk)|Il bidone (Fellini)|Day of the Dead (Romero)|Le Goût des autres (Jaoui)|India Song (Duras)|Loving Couples (Zetterling)|Maciste all'inferno (Freda)|Pakeezah (Amrohi)|Senso (Visconti)|Sunrise (Murnau)|||
35|Roger Ebert|US|Aguirre, Wrath of God (Herzog)|Apocalypse Now (Coppola)|Citizen Kane (Welles)|Dekalog (Kieslowski)|La dolce vita (Fellini)|The General (Keaton)|Raging Bull (Scorsese)|2001: A Space Odyssey (Kubrick)|Tokyo Story (Ozu)|Vertigo (Hitchcock)|||
36|Klaus Eder|Germany|Battleship Potemkin (Eisenstein)|The Gold Rush (Chaplin)|La Règle du jeu (Renoir)|Citizen Kane (Welles)|Paisà (Rossellini)|Tokyo Story (Ozu)|Ordet (Dreyer)|Pather Panchali (S. Ray)|The 400 Blows (Truffaut)|Black God, White Devil (Rocha)|||
37|Thomas Elsaesser|Holland|Sunrise (Murnau)|La Règle du jeu (Renoir)|Citizen Kane (Welles)|The Big Sleep (Hawks)|Letter from an Unknown Woman (Ophuls)|Sansho Dayu (Mizoguchi)|Vertigo (Hitchcock)|Some Like It Hot (Wilder)|Taxi Driver (Scorsese)|Berlin Alexanderplatz (Fassbinder)|||
38|Jim Emerson|US|Chinatown (Polanski)|Citizen Kane (Welles)|The Discreet Charm of the Bourgeoisie (Buñuel)|Kings of the Road (Wenders)|The Magnificent Ambersons (Welles)|Nashville (Altman)|Sherlock Jr. (Keaton)|Sunrise (Murnau)|2001: A Space Odyssey (Kubrick)|Vertigo (Hitchcock)|||
39|Claudio España|Argentina|Breaking the Waves (von Trier)|Citizen Kane (Welles)|8 1/2 (Fellini)|Memories of Underdevelopment (Gutiérrez Alea)|Ordet (Dreyer)|La Passion (Godard)|Sansho Dayu (Mizoguchi)|Sunrise (Murnau)|Vertigo (Hitchcock)|Voyage to Italy (Rossellini)|||
40|Dan Fainaru|Israel|Battleship Potemkin (Eisenstein)|Dekalog (Kieslowski)|8 1/2 (Fellini)|Fanny and Alexander (Bergman)|F for Fake (Welles)|A One and a Two... (Yang)|Shoah (Lanzmann)|Tokyo Story (Ozu)|The Travelling Players (Angelopoulos)|Vertigo (Hitchcock)|||
41|Edna Fainaru|Israel|Angel (Lubitsch)|Sullivan's Travels (P. Sturges)|Floating Clouds (Naruse)|Tokyo Story (Ozu)|Ikiru (Kurosawa)|Singin' in the Rain (Kelly, Donen)|Providence (Resnais)|8 1/2 (Fellini)|A One and a Two... (Yang)|Shoah (Lanzmann)|||
42|Ibrahim Fawal|US/Egypt|Bicycle Thieves (De Sica)|Citizen Kane (Welles)|8 1/2 (Fellini)|Fanny and Alexander (Bergman)|The Godfather (Coppola)|Lawrence of Arabia (Lean)|Napoléon (Gance)|On the Waterfront (Kazan)|Rashomon (Kurosawa)|La Règle du jeu (Renoir)|||
43|Howard Feinstein|US|A Clockwork Orange (Kubrick)|Greed (von Stroheim)|The Life of Oharu (Mizoguchi)|Madame de... (Ophuls)|Nosferatu (Murnau)|The Passion of Joan of Arc (Dreyer)|Rome, Open City (Rossellini)|The Searchers (Ford)|Sunset Blvd. (Wilder)|Three Colours Trilogy (Kieslowski)|||
44|Philip French|UK|The General (Keaton)|La Grande Illusion (Renoir)|Stagecoach (Ford)|Citizen Kane (Welles)|Singin' in the Rain (Kelly, Donen)|Seven Samurai (Kurosawa)|Pather Panchali (S. Ray)|Vertigo (Hitchcock)|Winter Light (Bergman)|The Godfather (Coppola)|||
45|Jean-Michel Frodon|France|A City of Sadness (Hou)|Close-up (Kiarostami)|M (Lang)|The Passion of Joan of Arc (Dreyer)|Sauve qui peut (la vie) (Godard)|The Searchers (Ford)|Shoah (Lanzmann)|Singin' in the Rain (Kelly, Donen)|Van Gogh (Pialat)|Vertigo (Hitchcock)|||
46|Teshome Gabriel|US|Salt of the Earth (Biberman)|Black God, White Devil (Rocha)|Quemada! (Pontecorvo)|Dersu Uzala (Kurosawa)|Ceddo (Sembéne)|Who's Singing over There? (Sijan)|La Rue Cases-Nègres (Palcy)|El norte (Nava)|To Sleep with Anger (Burnett)|Song of Exile (Hui On-Wah)|||
47|Diego Galan|Spain|Sunrise (Murnau)|The Thief of Bagdad (Berger, Powell, Whelan et al)|All about Eve (Mankiewicz)|Touch of Evil (Welles)|The Apartment (Wilder)|Jules et Jim (Truffaut)|Viridiana (Buñuel)|The Godfather Trilogy (Coppola)|To Live (Zhang)|Besieged (Bertolucci)|||
48|Leonardo Garcia Tsao|Mexico|Intolerance (Griffith)|Sunrise (Murnau)|The Passion of Joan of Arc (Dreyer)|King Kong (Cooper, Schoedsack)|L'Atalante (Vigo)|Los Olvidados (Buñuel)|Seven Samurai (Kurosawa)|Vertigo (Hitchcock)|La dolce vita (Fellini)|Andrei Roublev (Tarkovsky)|||
49|June Givanni|UK|Muna Moto (Dikongue-Pipa)|Shadows (Cassavetes)|Touki-Bouki (Diop Mambéty)|Riff-Raff (Loach)|Kaagaz ke phool (Dutt)|La Rue Cases-Nègres (Palcy)|Man by the Shore (Peck)|Jungle Fever (Lee)|To Sleep with Anger (Burnett)|All about My Mother (Almodóvar)|||
50|Lalitha Gopalan|US/India|À bout de souffle (Godard)|Branded to Kill (Suzuki)|Un Chien andalou (Buñuel)|Dead Ringers (Cronenberg)|Jeanne Dielman... (Akerman)|Man with a Movie Camera (Vertov)|Night Cries - A Rural Tragedy (Moffatt)|Sholay (Sippy)|Solaris (Tarkovsky)|Touch of Evil (Welles)|||
51|Sidney Gottlieb|US|The Last Laugh (Murnau)|Battleship Potemkin (Eisenstein)|La Grande Illusion (Renoir)|Citizen Kane (Welles)|Bicycle Thieves (De Sica)|Rashomon (Kurosawa)|The Seventh Seal (Bergman)|Vertigo (Hitchcock)|À bout de souffle (Godard)|The Godfather (Coppola)|||
52|Julian Graffy|UK|The Life of Oharu (Mizoguchi)|Happiness (Medvedkin)|L'avventura (Antonioni)|Pierrot le fou (Godard)|Long Farewells (Muratova)|Tokyo Story (Ozu)|Ju Dou (Zhang)|A Life for a Life (Bauer)|Through the Olive Trees (Kiarostami)|Chungking Express (Wong)|||
53|Matthias Greuling|Austria|Citizen Kane (Welles)|The Apartment (Wilder)|2001: A Space Odyssey (Kubrick)|Battleship Potemkin (Eisenstein)|Vertigo (Hitchcock)|The 400 Blows (Truffaut)|Le Mépris (Godard)|Schindler's List (Spielberg)|La dolce vita (Fellini)|L'avventura (Antonioni)|||
54|Alfredo Guevara|Cuba|Providence (Resnais)|Death in Venice (Visconti)|Modern Times (Chaplin)|Umberto D. (De Sica)|Black God, White Devil (Rocha)|Strawberry and Chocolate (Gutiérrez Alea)|Los Olvidados (Buñuel)|La strada (Fellini)|Battleship Potemkin (Eisenstein)|À bout de souffle (Godard)|||
55|Tom Gunning|US|Day of Wrath (Dreyer)|Vertigo (Hitchcock)|Sunrise (Murnau)|Ugetsu Monogatari (Mizoguchi)|The Searchers (Ford)|Intolerance (Griffith)|M (Lang)|Ivan the Terrible (Eisenstein)|Pierrot le fou (Godard)|La Région centrale (Snow)|||
56|Peter Hames|UK|Mirror (Tarkovsky)|A Tale of Tales (Norstein)|Sansho Dayu (Mizoguchi)|Les Vacances de M. Hulot (Tati)|The Searchers (Ford)|Markéta Lazarová (Vlácil)|Yeelen (Cissé)|The Man in the White Suit (Mackendrick)|Celine and Julie Go Boating (Rivette)|The Trouble with Harry (Hitchcock)|||
57|David Hanan|Australia|Strike (Eisenstein)|Meshes of the Afternoon (Deren)|A Matter of Life and Death (Powell, Pressburger)|L'avventura (Antonioni)|Komal Gandhar (Ghatak)|You Are Weighed but Found Lacking (Brocka)|In a Year with Thirteen Moons (Fassbinder)|Jane Campion shorts [Peel/Passionless Moments/A Girl's Own Story] (Campion)|Butterflies and Flowers (Mukdasanit)|Bitter Coffee (Karya)|||
58|Jim Hoberman|US|Flaming Creatures (J. Smith)|The Girl from Chicago (Micheaux)|Man with a Movie Camera (Vertov)|Pather Panchali (S. Ray)|La Règle du jeu (Renoir)|Rose Hobart (Cornell)|Shoah (Lanzmann)|Two or Three Things I Know about Her (Godard)|Les Vampires (Feuillade)|Vertigo (Hitchcock)|||
59|Yomota Inuhiko|Japan|Kaagaz ke phool (Dutt)|The Story of the Late Chrysanthemums (Mizoguchi)|A Touch of Zen (Hu)|L'Age d'or (Buñuel)|Le Vent d'est (Godard)|Accattone (Pasolini)|Vampyr (Dreyer)|Napoléon (Gance)|Il deserto rosso (Antonioni)|Au hasard Balthazar (Bresson)|||
60|Dina Iordanova|UK|The Battle of Algiers (Pontecorvo)|Un Chien andalou (Buñuel)|Man with a Movie Camera (Vertov)|Metropolis (Lang)|Mirror (Tarkovsky)|October (Eisenstein)|The Round Up (Jancsó)|Throne of Blood (Kurosawa)|Vidas Secas (Dos Santos)|Xala (Sembéne)|||
61|Gilles Jacob|France|L'Atalante (Vigo)|Earth (Dovzhenko)|The Empress Yang Kwei-Fei (Mizoguchi)|Fanny and Alexander (Bergman)|Ikiru (Kurosawa)|The Last Laugh (Murnau)|The Music Room (S. Ray)|My Apprenticeship (Donskoi)|Nanook of the North (Flaherty)|Our Daily Bread (Vidor)|||
62|Nick James|UK|Andrei Roublev (Tarkovsky)|L'Argent (L'Herbier)|Barry Lyndon (Kubrick)|Black Narcissus (Powell, Pressburger)|The Conformist (Bertolucci)|Hotel Terminus: Klaus Barbie, His Life and Times (Ophüls)|A One and a Two... (Yang)|Out of the Past (Tourneur)|Singin' in the Rain (Kelly, Donen)|Taxi Driver (Scorsese)|||
