|Voter_Name|Voter_Country|Film_1|Film_2|Film_3|Film_4|Film_5|Film_6|Film_7|Film_8|Film_9|Film_10|Film_11|Film_12|Film_13
189|Terry Jones|UK|Annie Hall (Allen)|Apocalypse Now (Coppola)|Duck Soup (McCarey)|Fanny and Alexander (Bergman)|Groundhog Day (Ramis)|Guys and Dolls (Mankiewicz)|Jour de fête (Tati)|Napoléon (Gance)|Pathfinder (Salkow)|Steamboat Bill, Jr. (Riesner)|||
190|Cédric Kahn|France|Dangerous Liaisons (Frears)|Taxi Driver (Scorsese)|Fanny and Alexander (Bergman)|L'Enfance nue (Pialat)|La Femme d'à côté (Truffaut)|The Birds (Hitchcock)|Chinatown (Polanski)|Paris, Texas (Wenders)|The Remains of the Day (Ivory)|Straight Story (Lynch)|||
191|Asif Kapadia|UK|Psycho (Hitchcock)|Raging Bull (Scorsese)|The Godfather and The Godfather Part II (Coppola)|Ugetsu Monogatari (Mizoguchi)|Do the Right Thing (Lee)|Once upon a Time in the West (Leone)|Don't Look Now (Roeg)|The Hidden Fortress (Kurosawa)|The Story of Qiu Ju (Zhang)|Straw Dogs (Peckinpah)|||
192|Jonathan Kaplan|US|Modern Times (Chaplin)|Vertigo (Hitchcock)|The Searchers (Ford)|Bringing Up Baby (Hawks)|Barry Lyndon (Kubrick)|The Apartment (Wilder)|To Kill a Mockingbird (Mulligan)|The Wild Bunch (Peckinpah)|Once upon a Time in the West (Leone)|White Heat (Walsh)|||
193|Aki Kaurismäki|Finland|L'Age d'or (Buñuel)|L'Atalante (Vigo)|Au hasard Balthazar (Bresson)|Broken Blossoms (Griffith)|Casque d'or (Becker)|Greed (von Stroheim)|Mon oncle (Tati)|Nanook of the North (Flaherty)|Rome, Open City (Rossellini)|Tokyo Story (Ozu)|||
194|Mika Kaurismäki|Finland|Ugetsu Monogatari (Mizoguchi)|Sunrise (Murnau)|Once upon a Time in the West (Leone)|Lawrence of Arabia (Lean)|Le Deuxième Souffle (Melville)|To Be or Not to Be (Lubitsch)|Only Angels Have Wings (Hawks)|The Misfits (Huston)|The Red Shoes (Powell, Pressburger)|Pickpocket (Bresson)|||
195|Park Kiyong|South Korea|À bout de souffle (Godard)|A City of Sadness (Hou)|Dekalog (Kieslowski)|Il deserto rosso (Antonioni)|Fear Eats the Soul (Fassbinder)|Psycho (Hitchcock)|Raging Bull (Scorsese)|The Searchers (Ford)|Tokyo Story (Ozu)|Vengeance Is Mine (Imamura)|||
196|Bruce LaBruce|Canada|L'avventura (Antonioni)|The Bellboy (Lewis)|Boy (Oshima)|Dawn of the Dead (Romero)|8 1/2 (Fellini)|Fear Eats the Soul (Fassbinder)|The Gospel According to St. Matthew (Pasolini)|The Killing of a Chinese Bookie (Cassavetes)|Persona (Bergman)|Weekend (Godard)|||
197|Clara Law|Hong Kong|Mirror (Tarkovsky)|Sacrifice (Tarkovsky)|Tokyo Story (Ozu)|Eternity and a Day (Angelopoulos)|L'Argent (Bresson)|Three Colours Blue (Kieslowski)|L'eclisse (Antonioni)|A City of Sadness (Hou)|Ran (Kurosawa)|Last Year at Marienbad (Resnais)|||
198|Richard Lester|US|Casablanca (Curtiz)|Citizen Kane (Welles)|E.T. The Extra-Terrestrial (Spielberg)|The 400 Blows (Truffaut)|The General (Keaton)|The Godfather and The Godfather Part II (Coppola)|Lawrence of Arabia (Lean)|Nashville (Altman)|Seven Samurai (Kurosawa)|Les Vacances de M. Hulot (Tati)|||
199|Richard Linklater|US|Some Came Running (Minnelli)|Pickpocket (Bresson)|2001: A Space Odyssey (Kubrick)|GoodFellas (Scorsese)|La Maman et la putain (Eustache)|Los Olvidados (Buñuel)|In a Year with Thirteen Moons (Fassbinder)|Citizen Kane (Welles)|Fanny and Alexander (Bergman)|Carmen Jones (Preminger)|||
200|Ken Loach|UK|À bout de souffle (Godard)|The Battle of Algiers (Pontecorvo)|A Blonde in Love (Forman)|Bicycle Thieves (De Sica)|Closely Observed Trains (Menzel)|Fireman's Ball (Forman)|Jules et Jim (Truffaut)|La Règle du jeu (Renoir)|The Tree of the Wooden Clogs (Olmi)|Wild Strawberries (Bergman)|||
201|Sidney Lumet|US|The Best Years of Our Lives (Wyler)|Fanny and Alexander (Bergman)|The Godfather (Coppola)|The Grapes of Wrath (Ford)|Intolerance (Griffith)|The Passion of Joan of Arc (Dreyer)|Ran (Kurosawa)|Roma (Fellini)|Singin' in the Rain (Kelly, Donen)|2001: A Space Odyssey (Kubrick)|||
202|Jonathan Lynn|UK|The Apartment (Wilder)|Casablanca (Curtiz)|Citizen Kane (Welles)|City Lights (Chaplin)|Dr. Strangelove (Kubrick)|The Godfather Part II (Coppola)|Lawrence of Arabia [the recent, expanded version] (Lean)|La strada (Fellini)|Strangers on a Train (Hitchcock)|The Third Man (Reed)|||
203|Jim McBride|US|Red River (Hawks)|The Leopard (Visconti)|Citizen Kane (Welles)|La Grande Illusion (Renoir)|À bout de souffle (Godard)|Madame de... (Ophuls)|She Wore a Yellow Ribbon (Ford)|Pickpocket (Bresson)|The Lady Eve (P. Sturges)|The Life and Death of Colonel Blimp (Powell, Pressburger)|||
204|Kevin MacDonald|UK|Atanarjuat The Fast Runner (Kunuk)|Double Indemnity (Wilder)|The Life and Death of Colonel Blimp (Powell, Pressburger)|The Magnificent Ambersons (Welles)|The Palm Beach Story (P. Sturges)|Partie de campagne (Renoir)|Rear Window (Hitchcock)|Singin' in the Rain (Kelly, Donen)|The Thin Blue Line (Morris)|The Unseen (Janek)|||
205|Scott McGehee|US|A Matter of Life and Death (Powell, Pressburger)|The Best Years of Our Lives (Wyler)|Written on the Wind (Sirk)|Sweet Smell of Success (Mackendrick)|Touch of Evil (Welles)|Vertigo (Hitchcock)|When a Woman Ascends the Stairs (Naruse)|Les Parapluies de Cherbourg (Demy)|The Conformist (Bertolucci)|Chinatown (Polanski)|||
206|Gillies MacKinnon|UK|Mirror (Tarkovsky)|Persona (Bergman)|Seven Samurai (Kurosawa)|Come and See (Klimov)|The Quince Tree Sun (Erice)|Bicycle Thieves (De Sica)|Angels with Dirty Faces (Curtiz)|A Short Film about Killing (Kieslowski)|A Time for Drunken Horses (Ghobadi)|Songs from the Second Floor (Andersson)|||
207|James Mangold|US|8 1/2 (Fellini)|The Palm Beach Story (P. Sturges)|The Verdict (Lumet)|Sweet Smell of Success (Mackendrick)|The Apartment (Wilder)|Shadow of a Doubt (Hitchcock)|Umberto D. (De Sica)|Black Narcissus (Powell, Pressburger)|Great Expectations (Lean)|Floating Weeds (Ozu)|Sherlock Jr. (Keaton)||
208|Michael Mann|US|Apocalypse Now (Coppola)|Battleship Potemkin (Eisenstein)|Citizen Kane (Welles)|Dr. Strangelove (Kubrick)|Faust (Murnau)|Last Year at Marienbad (Resnais)|My Darling Clementine (Ford)|The Passion of Joan of Arc (Dreyer)|Raging Bull (Scorsese)|The Wild Bunch (Peckinpah)|||
209|Paul Mazursky|US|The Bridge on the River Kwai (Lean)|Citizen Kane (Welles)|City Lights (Chaplin)|Dr. Strangelove (Kubrick)|Jules et Jim (Truffaut)|Nights of Cabiria (Fellini)|Psycho (Hitchcock)|Rashomon (Kurosawa)|Sunset Blvd. (Wilder)|The Treasure of the Sierra Madre (Huston)|||
210|Anurag Mehta|US|Star Wars (Lucas)|Raiders of the Lost Ark (Spielberg)|Rocky (Avildsen)|Jaws (Spielberg)|Forrest Gump (Zemeckis)|Superman (Donner)|Jerry Maguire (Crowe)|Casablanca (Curtiz)|Back to the Future (Zemeckis)|Pulp Fiction (Tarantino)|||
211|Sam Mendes|UK|Citizen Kane (Welles)|Fanny and Alexander (Bergman)|The Godfather Part II (Coppola)|The Piano (Campion)|The Red Shoes (Powell, Pressburger)|Sunset Blvd. (Wilder)|2001: A Space Odyssey (Kubrick)|Taxi Driver (Scorsese)|Vertigo (Hitchcock)|The Wizard of Oz (Fleming)|||
212|Nicholas Meyer|US|La Règle du jeu (Renoir)|Citizen Kane (Welles)|The Organiser (Monicelli)|Singin' in the Rain (Kelly, Donen)|City Lights (Chaplin)|On the Waterfront (Kazan)|The Bridge on the River Kwai (Lean)|Casablanca (Curtiz)|The Godfather and The Godfather Part II (Coppola)|The African Queen (Huston)|||
213|Roger Michell|UK|Amarcord (Fellini)|L'Atalante (Vigo)|Don't Look Back (Pennebaker)|8 1/2 (Fellini)|E.T. The Extra-Terrestrial (Spielberg)|The Hill (Lumet)|Lawrence of Arabia (Lean)|La Nuit américaine (Truffaut)|La strada (Fellini)|I vitelloni (Fellini)|||
214|Tanvir Mokammel|Bangladesh|Battleship Potemkin (Eisenstein)|Metropolis (Lang)|Citizen Kane (Welles)|Bicycle Thieves (De Sica)|Rashomon (Kurosawa)|Spartacus (Kubrick)|Ran (Kurosawa)|The Tin Drum (Schlöndorff)|Apocalypse Now (Coppola)|2001: A Space Odyssey (Kubrick)|||
215|Lukas Moodysson|Sweden|Bicycle Thieves (De Sica)|Fanny and Alexander (Bergman)|Gummo (Korine)|La Haine (Kassovitz)|Lamerica (Amelio)|The Last Picture Show (Bogdanovich)|Mirror (Tarkovsky)|On the Waterfront (Kazan)|Riff-Raff (Loach)|Secrets & Lies (Leigh)|Where Is My Friend's House? (Kiarostami)||
216|Errol Morris|US|Detour (Ulmer)|There's Always Tomorrow (Sirk)|Make Way for Tomorrow (McCarey)|A Man Escaped (Bresson)|Le Crime de Monsieur Lange (Renoir)|Stray Dog (Kurosawa)|The Rise to Power of Louis XIV (Rossellini)|Human Desire (Lang)|Ace in the Hole (Wilder)|Psycho (Hitchcock)|||
217|Paul Morrissey|US|Gone with the Wind (Fleming)|Richard III (Olivier)|On the Waterfront (Kazan)|How Green Was My Valley (Ford)|Tobacco Road (Ford)|Shane (Stevens)|The Heiress (Wyler)|The Third Man (Reed)|The Nun's Story (Zinnemann)|La dolce vita (Fellini)|||
218|Shunichi Nagasaki|Japan|Floating Clouds (Naruse)|Gertrud (Dreyer)|Mulholland Dr. (Lynch)|Vertigo (Hitchcock)|Suzaki Paradise (Kawashima)|Le Fantôme de la liberté (Buñuel)|The Double Life of Véronique (Kieslowski)|Angel (Lubitsch)|A Pot Worth a Million Ryo (Sadao)|Bring Me the Head of Alfredo Garcia (Peckinpah)|||
219|Mira Nair|India|An Angel at My Table (Campion)|The Battle of Algiers (Pontecorvo)|Dekalog (Kieslowski)|The Double Life of Véronique (Kieslowski)|8 1/2 (Fellini)|The Godfather (Coppola)|In the Mood for Love (Wong)|La Jetée (Marker)|The Music Room (S. Ray)|Pyaasa (Dutt)|Raging Bull (Scorsese)|Time of the Gypsies (Kusturica)|
220|Ronald Neame|UK|The African Queen (Huston)|All Quiet on the Western Front (Milestone)|The Apartment (Wilder)|Battleship Potemkin (Eisenstein)|Brief Encounter (Lean)|Citizen Kane (Welles)|E.T. The Extra-Terrestrial (Spielberg)|Gone with the Wind (Fleming)|Lawrence of Arabia (Lean)|Napoléon (Gance)|||
221|Mike Newell|UK|The Apartment (Wilder)|Bad Day at Black Rock (J. Sturges)|Fanny and Alexander (Bergman)|La Grande Illusion (Renoir)|Kind Hearts and Coronets (Hamer)|Lacombe Lucien (Malle)|The Leopard (Visconti)|My Darling Clementine (Ford)|Notorious (Hitchcock)|War and Peace (Vidor)|||
222|Pawel Pawlikowski|UK/Poland|Ashes and Diamonds (Wajda)|A Blonde in Love (Forman)|Cul-de-Sac (Polanski)|Days of Heaven (Malick)|La dolce vita (Fellini)|Do You Remember Dolly Bell? (Kusturica)|Mirror (Tarkovsky)|One Flew over the Cuckoo's Nest (Forman)|Some Like It Hot (Wilder)|Taxi Driver (Scorsese)|||
223|Babak Payami|Iran|Seven Samurai (Kurosawa)|The White Nights (Visconti)|2001: A Space Odyssey (Kubrick)|Un Chien andalou (Buñuel)|Last Year at Marienbad (Resnais)|Short Cuts (Altman)|L'avventura (Antonioni)|Still Life (Saless)|Que Viva Mexico! (Eisenstein)|Citizen Kane (Welles)|||
224|Sydney Pollack|US|Casablanca (Curtiz)|Citizen Kane (Welles)|The Conformist (Bertolucci)|The Godfather Part II (Coppola)|La Grande Illusion (Renoir)|The Leopard (Visconti)|Once upon a Time in America (Leone)|Raging Bull (Scorsese)|The Seventh Seal (Bergman)|Sunset Blvd. (Wilder)|||
225|Alex Proyas|Australia|Citizen Kane (Welles)|Dr. Strangelove (Kubrick)|The Exorcist (Friedkin)|The Godfather (Coppola)|It's a Wonderful Life (Capra)|Lawrence of Arabia (Lean)|North by Northwest (Hitchcock)|One Flew over the Cuckoo's Nest (Forman)|The Third Man (Reed)|The Wizard of Oz (Fleming)|||
226|Yvonne Rainer|US|L'Age d'or (Buñuel)|Double Indemnity (Wilder)|The Hawks and the Sparrows (Pasolini)|Je, tu, il, elle (Akerman)|Mädchen in Uniforme (Sagan)|Pandora's Box (Pabst)|Poetic Justice (Frampton)|La Règle du jeu (Renoir)|Un(c)ut (Greyson)|Zéro de conduite (Vigo)|||
227|Karel Reisz|UK|The Discreet Charm of the Bourgeoisie (Buñuel)|Earth (Dovzhenko)|Fires Were Started (Jennings)|The Lady Eve (P. Sturges)|Nashville (Altman)|Raging Bull (Scorsese)|La Règle du jeu (Renoir)|Strangers on a Train (Hitchcock)|They Were Expendable (Ford)|Tokyo Story (Ozu)|||
228|Tim Robbins|US|The Battle of Algiers (Pontecorvo)|The Clowns (Fellini)|Don't Look Back (Pennebaker)|The Lower Depths (Kurosawa)|McCabe & Mrs. Miller (Altman)|My Man Godfrey (La Cava)|Nashville (Altman)|Network (Lumet)|Underground (Kusturica)|Waiting for Guffman (Guest)|||
229|George A. Romero|US|The Brothers Karamazov (Brooks)|Casablanca (Curtiz)|Dr. Strangelove (Kubrick)|High Noon (Zinnemann)|King Solomon's Mines (Bennett)|North by Northwest (Hitchcock)|The Quiet Man (Ford)|Repulsion (Polanski)|Touch of Evil (Welles)|The Tales of Hoffmann (Powell, Pressburger)|||
230|Alan Rudolph|US|La dolce vita (Fellini)|Sunrise (Murnau)|La Règle du jeu (Renoir)|McCabe & Mrs. Miller (Altman)|Ikiru (Kurosawa)|Persona (Bergman)|Dr. Strangelove (Kubrick)|Citizen Kane (Welles)|La Nuit américaine (Truffaut)|Block-Heads (Blystone)|||
231|Philip Saville|UK|Alphaville (Godard)|Citizen Kane (Welles)|Don't Look Now (Roeg)|Les Enfants du paradis (Carné)|The Matrix (Wachowskis)|Seven Samurai (Kurosawa)|Some Like It Hot (Wilder)|Spartacus (Kubrick)|Viridiana (Buñuel)|The Wizard of Oz (Fleming)|||
232|Paul Schrader|US|La Règle du jeu (Renoir)|Tokyo Story (Ozu)|Pickpocket (Bresson)|Citizen Kane (Welles)|The Lady Eve (P. Sturges)|La Belle et la Bête (Cocteau)|The Conformist (Bertolucci)|Vertigo (Hitchcock)|The Searchers (Ford)|The Wild Bunch (Peckinpah)|||
233|Barbet Schroeder|Czech Republic|Anatomy of a Murder (Preminger)|Bigger Than Life (N. Ray)|The Big Heat (Lang)|Europa '51 (Rossellini)|Gion Bayashi (Mizoguchi)|Late Spring (Ozu)|Ordet (Dreyer)|Rio Bravo (Hawks)|Sunrise (Murnau)|Vertigo (Hitchcock)|||
234|Joel Schumacher|US|Battleship Potemkin (Eisenstein)|Lawrence of Arabia (Lean)|The Cook, The Thief, His Wife & Her Lover (Greenaway)|Bicycle Thieves (De Sica)|Breaking the Waves (von Trier)|A Clockwork Orange (Kubrick)|The Conversation (Coppola)|Sunset Blvd. (Wilder)|Stalker (Tarkovsky)|The Conformist (Bertolucci)|||
235|Susan Seidelman|US|All about Eve (Mankiewicz)|The Apartment (Wilder)|Badlands (Malick)|Blue Velvet (Lynch)|Broadway Danny Rose (Allen)|GoodFellas (Scorsese)|Jules et Jim (Truffaut)|Nights of Cabiria (Fellini)|North by Northwest (Hitchcock)|Pulp Fiction (Tarantino)|||
236|Mrinal Sen|India|The Passion of Joan of Arc (Dreyer)|Battleship Potemkin (Eisenstein)|La Grande Illusion (Renoir)|L'Age d'or (Buñuel)|Four Nights of a Dreamer (Bresson)|Bicycle Thieves (De Sica)|La dolce vita (Fellini)|Aparajito (S. Ray)|Monsieur Verdoux (Chaplin)|Last Year at Marienbad (Resnais)|||
237|Masahiro Shinoda|Japan|Intolerance (Griffith)|Ivan the Terrible (Eisenstein)|Lawrence of Arabia (Lean)|Ugetsu Monogatari (Mizoguchi)|Ran (Kurosawa)|Amarcord (Fellini)|Oedipus Rex (Pasolini)|Dr. Strangelove (Kubrick)|Apocalypse Now (Coppola)|À bout de souffle (Godard)|||
238|David Siegel|US|Badlands (Malick)|La Belle et la Bête (Cocteau)|Citizen Kane (Welles)|Crimes and Misdemeanors (Allen)|Full Metal Jacket (Kubrick)|The Godfather Part II (Coppola)|High and Low (Kurosawa)|A Matter of Life and Death (Powell, Pressburger)|A Place in the Sun (Stevens)|Rear Window (Hitchcock)|||
239|Digvijay Singh|India|Annie Hall (Allen)|Charulata (S. Ray)|La dolce vita (Fellini)|8 1/2 (Fellini)|Hana-Bi (Kitano)|M (Lang)|On the Waterfront (Kazan)|Pather Panchali (S. Ray)|Ran (Kurosawa)|Rashomon (Kurosawa)|||
240|Santosh Sivan|India|The Passion of Joan of Arc (Dreyer)|Mirror (Tarkovsky)|Tokyo Story (Ozu)|Cries and Whispers (Bergman)|2001: A Space Odyssey (Kubrick)|Charulata (S. Ray)|Aguirre, Wrath of God (Herzog)|The Great Dictator (Chaplin)|Seven Samurai (Kurosawa)|Apocalypse Now (Coppola)|||
241|George Sluizer|Holland|Andrei Roublev (Tarkovsky)|L'avventura (Antonioni)|Voyage to Italy (Rossellini)|Sunset Blvd. (Wilder)|On the Waterfront (Kazan)|Lacombe Lucien (Malle)|Vertigo (Hitchcock)|Death in Venice (Visconti)|Alexander Nevsky (Eisenstein)|The Golden Coach (Renoir)|||
242|Iain Softley|UK|Casablanca (Curtiz)|Citizen Kane (Welles)|The Godfather (Coppola)|2001: A Space Odyssey (Kubrick)|Don't Look Now (Roeg)|Apocalypse Now (Coppola)|Chinatown (Polanski)|Lawrence of Arabia (Lean)|Psycho (Hitchcock)|Sunset Blvd. (Wilder)|||
243|Wesley Strick|US|Bonnie and Clyde (Penn)|Chinatown (Polanski)|8 1/2 (Fellini)|Goldfinger (Hamilton)|The Night of the Hunter (Laughton)|North by Northwest (Hitchcock)|Rosemary's Baby (Polanski)|Tirez sur le pianiste (Truffaut)|Touch of Evil (Welles)|Vertigo (Hitchcock)|||
244|Quentin Tarantino|US|The Good, the Bad and the Ugly (Leone)|Rio Bravo (Hawks)|Taxi Driver (Scorsese)|His Girl Friday (Hawks)|Rolling Thunder (Flynn)|They All Laughed (Bogdanovich)|The Great Escape (J. Sturges)|Carrie (De Palma)|Coffy (Hill)|Dazed and Confused (Linklater)|Five Fingers of Death (Chang)|Hi Diddle Diddle (Stone)|
245|James Toback|US|F for Fake (Welles)|Touch of Evil (Welles)|Hotel Terminus: Klaus Barbie, His Life and Times (Ophüls)|The Godfather Trilogy (Coppola)|Get Shorty (Sonnenfeld)|Jules et Jim (Truffaut)|Reds (Beatty)|Sweet Dreams (Avildsen)|Jimmy Hollywood (Levinson)|Lolita (Kubrick)|Lolita (Lyne)|Le Mépris (Godard)|
246|Jaco Van Dormael|Belgium|Mirror (Tarkovsky)|Amarcord (Fellini)|Rachel, Rachel (Newman)|Andrei Roublev (Tarkovsky)|Citizen Kane (Welles)|Providence (Resnais)|Wild Strawberries (Bergman)|Intolerance (Griffith)|Modern Times (Chaplin)|Alice in the Cities (Wenders)|||
247|Gore Verbinski|US|Chinatown (Polanski)|The Conversation (Coppola)|Dr. Strangelove (Kubrick)|The Good, the Bad and the Ugly (Leone)|McCabe & Mrs. Miller (Altman)|The Night of the Hunter (Laughton)|Sacrifice (Tarkovsky)|The Servant (Losey)|The Tenant (Polanski)|The Wages of Fear (Clouzot)|||
248|Paul Verhoeven|Holland/US|La dolce vita (Fellini)|Ivan the Terrible, Part II (Eisenstein)|Lawrence of Arabia (Lean)|Rashomon (Kurosawa)|Vertigo (Hitchcock)|The Seventh Seal (Bergman)|La Règle du jeu (Renoir)|Metropolis (Lang)|Los Olvidados (Buñuel)|Some Like It Hot (Wilder)|||
249|Vincent Ward|New Zealand|Andrei Roublev (Tarkovsky)|La strada (Fellini)|The General (Keaton)|The Navigator (Keaton)|The Apartment (Wilder)|Sunrise (Murnau)|The Wind (Sjöström)|Metropolis (Lang)|Steamboat Bill, Jr. (Riesner)|Blade Runner (Scott)|||
250|John Waters|US|All That Heaven Allows (Sirk)|Baby Doll (Kazan)|Boom! (Losey)|Brink of Life (Bergman)|The Chelsea Girls (Warhol)|8 1/2 (Fellini)|Faster, Pussycat! Kill! Kill! (Meyer)|La Maman et la putain (Eustache)|The Tingler (W. Castle)|The Wizard of Oz (Fleming)|||
251|Geoffrey Wright|Australia|Citizen Kane (Welles)|Lawrence of Arabia (Lean)|The Godfather (Coppola)|The Godfather Part II (Coppola)|Apocalypse Now (Coppola)|Stray Dog (Kurosawa)|Taxi Driver (Scorsese)|Psycho (Hitchcock)|The Exorcist (Friedkin)|Jaws (Spielberg)|||
252|Tian Zhuang-Zhuang|China|The Age of Innocence (Scorsese)|Reservoir Dogs (Tarantino)|Three Colours White (Kieslowski)|Underground (Kusturica)|Burnt by the Sun (Mikhalkov)|Flowers of Shanghai (Hou)|La Haine (Kassovitz)|Spirited Away (Miyazaki)|||||
